宁都县城郊卫生院土围诊所,NDXCJWSYTWZS,DWI00023562
安源区五陂镇大田村卫生所,AYQWZDTCWSS,DWI00003640
宜黄县神岗乡下湾村卫生所,YHXSGXXWCWSS,DWI00019047
平定乡洪万村卫生所一分所,PDXHWCWSSYFS,DWI00022301
广丰县永盛大药房白鹤畈店,GFXYSDYFBHD,DWI00023367
德安县河东乡上畈村卫生所,DAXHDXSCWSS,DWI00015716
新城镇新城村谢欣荣卫生所,XCZXCCXXRWSS,DWI00022299
新城镇桥西村沈福发卫生所,XCZQXCSFFWSS,DWI00022376
朱家桥村卫生所孙才义诊室,ZJQCWSSSCYZS,DWI00017448
樟树市袁毅中西医结合诊所,ZSSYYZXYJHZS,DWI00019076
江西永通药业有限责任公司,JXYTYYYXZRGS,DWI00010467
泰和县冠朝镇冠朝村卫生所,THXGCZGCCWSS,DWI00014488
涌山里村卫生所（徐志华）,YSLCWSSXZH,DWI00005291
湖口县舜德乡舜德村卫生所,HKXSDXSDCWSS,DWI00000877
竹坪村卫生所刘自绰医疗点,ZPCWSSLZCYLD,DWI00004066
黎川县熊村宇峰中西大药房,LCXXCYFZXDYF,DWI00019205
北京科园信海医药经营有限公司,BJKYXHYYJYYXGS,000000107421
上海铃谦沪中医药有限公司,SHLQHZYYYXGS,000000107422
崇义县上堡卫生院第二门诊*,CYXSBWSYDEMZ*,DWI00023114
宁都梅江镇河东村卫生所(九),NDMJZHDCWSS(J),DWI00017795
高家镇庄泉村卫生所(胡火焰),GJZZQCWSS(HHY),DWI00023453
万安县福尔康大药房新车站店,WAXFEKDYFXCZD,DWI00023366
后港高桥卫生所黄荆湾医疗点,HGGQWSSHJWYLD,DWI00006937
恩江村民主居委会卫生室四所,EJCMZJWHWSSSS,DWI00018552
洪岩吴家村卫生所（占炳坤）,HYWJCWSSZBK,DWI00018341
进贤县李渡全氏老百姓大药房,JXXLDQSLBXDYF,DWI00023295
鹰潭市济生堂大药房梅园分店,YTSJSTDYFMYFD,DWI00023068
崇仙乡崇仙村第六卫生所(张清),CXXCXCDLWSS(ZQ),DWI00022808
仙下乡吉村村卫生所风形医疗点,XXXJCCWSSFXYLD,DWI00023546
井冈山市龙市镇石陂村药店(停用),JGSSLSZSCYD(TY),DWI00022941
恩江镇开吉居委会社区卫生服务站,EJZKJJWHSQWSFWZ,DWI00018555
新余公司新庆余堂连锁总店七分店,XYGSXQYTLSZDQFD,DWI00006316
